geosumlev,geoid,stco,place,mdy,totpop,hhpop,gqpop,tothu,husfd,husfa,humf24,humf5p,humh,occhu,vacrate,pph
40,04000US06,California,California,4/1/2010,"37,253,956","36,412,191","841,765","13,670,304","7,959,078","966,440","1,110,620","3,076,519","557,647","12,568,167",8.1%,2.90
40,04000US06,California ,California,1/1/2011,"37,561,624","36,724,643","836,981","13,704,840","7,976,300","967,711","1,112,447","3,090,252","558,130","12,601,818",8.0%,2.91
40,04000US06,California ,California,1/1/2012,"37,924,661","37,086,745","837,916","13,740,400","7,993,130","969,232","1,114,374","3,104,901","558,763","12,640,818",8.0%,2.93
40,04000US06,California ,California,1/1/2013,"38,269,864","37,441,011","828,853","13,785,895","8,012,617","970,796","1,116,715","3,126,379","559,388","12,699,938",7.9%,2.95
40,04000US06,California ,California,1/1/2014,"38,556,731","37,717,623","839,108","13,845,405","8,038,266","973,059","1,119,289","3,154,794","559,997","12,761,931",7.8%,2.96
40,04000US06,California ,California,1/1/2015,"38,865,532","38,021,937","843,595","13,914,933","8,066,653","975,257","1,121,406","3,191,211","560,406","12,827,971",7.8%,2.96
40,04000US06,California ,California,1/1/2016,"39,103,587","38,268,626","834,961","13,982,747","8,094,768","977,771","1,123,600","3,225,753","560,855","12,903,921",7.7%,2.97
40,04000US06,California ,California,1/1/2017,"39,352,398","38,510,085","842,313","14,072,205","8,129,171","981,323","1,126,460","3,273,664","561,587","12,989,977",7.7%,2.96
40,04000US06,California ,California,1/1/2018,"39,519,535","38,669,963","849,572","14,157,502","8,160,864","985,926","1,129,761","3,318,946","562,005","13,078,801",7.6%,2.96
40,04000US06,California ,California,1/1/2019,"39,605,361","38,754,947","850,414","14,235,201","8,191,089","994,727","1,132,556","3,357,009","559,820","13,157,084",7.6%,2.95
40,04000US06,California ,California,1/1/2020,"39,648,938","38,796,056","852,882","14,330,043","8,231,434","996,863","1,143,264","3,397,665","560,817","13,246,622",7.6%,2.93
40,04000US06,California ,California,1/1/2021,"39,466,855","38,775,526","691,329","14,429,960","8,271,681","1,001,374","1,153,535","3,441,738","561,632","13,339,672",7.6%,2.91
157,15700US0600100562,Alameda,Alameda,4/1/2010,"73,812","72,316","1,496","32,351","13,700","3,347","5,826","9,351",127,"30,123",6.9%,2.40
157,15700US0600100562,Alameda ,Alameda,1/1/2011,"74,477","72,899","1,578","32,312","13,661","3,347","5,826","9,351",127,"30,114",6.8%,2.42
157,15700US0600100562,Alameda ,Alameda,1/1/2012,"75,482","73,884","1,598","32,429","13,778","3,347","5,826","9,351",127,"30,196",6.9%,2.45
157,15700US0600100562,Alameda ,Alameda,1/1/2013,"76,878","75,357","1,521","32,429","13,778","3,347","5,826","9,351",127,"30,585",5.7%,2.46
157,15700US0600100562,Alameda ,Alameda,1/1/2014,"77,500","75,999","1,501","32,430","13,779","3,347","5,826","9,351",127,"30,612",5.6%,2.48
157,15700US0600100562,Alameda ,Alameda,1/1/2015,"78,381","76,958","1,423","32,438","13,784","3,350","5,826","9,351",127,"30,701",5.4%,2.51
157,15700US0600100562,Alameda ,Alameda,1/1/2016,"80,386","78,858","1,528","32,763","13,912","3,350","5,834","9,540",127,"31,218",4.7%,2.53
157,15700US0600100562,Alameda ,Alameda,1/1/2017,"80,947","79,414","1,533","32,863","13,957","3,405","5,834","9,540",127,"31,382",4.5%,2.53
157,15700US0600100562,Alameda ,Alameda,1/1/2018,"81,195","79,670","1,525","32,987","13,987","3,406","5,927","9,540",127,"31,654",4.0%,2.52
157,15700US0600100562,Alameda ,Alameda,1/1/2019,"81,457","79,932","1,525","33,120","13,996","3,406","5,983","9,608",127,"31,870",3.8%,2.51
157,15700US0600100562,Alameda ,Alameda,1/1/2020,"81,135","79,610","1,525","33,147","13,998","3,417","5,997","9,608",127,"31,934",3.7%,2.49
157,15700US0600100562,Alameda ,Alameda,1/1/2021,"80,884","79,359","1,525","33,272","14,014","3,454","6,009","9,668",127,"32,054",3.7%,2.48
157,15700US0600100674,Alameda,Albany,4/1/2010,"18,539","15,377","3,162","6,712","4,222",220,813,"1,432",25,"6,309",6.0%,2.44
157,15700US0600100674,Alameda ,Albany,1/1/2011,"18,417","15,495","2,922","6,712","4,222",220,813,"1,432",25,"6,306",6.0%,2.46
157,15700US0600100674,Alameda ,Albany,1/1/2012,"18,573","15,643","2,930","6,717","4,223",220,817,"1,432",25,"6,298",6.2%,2.48
157,15700US0600100674,Alameda ,Albany,1/1/2013,"18,532","15,775","2,757","6,721","4,224",223,817,"1,432",25,"6,302",6.2%,2.50
157,15700US0600100674,Alameda ,Albany,1/1/2014,"18,490","15,877","2,613","6,722","4,225",223,817,"1,432",25,"6,291",6.4%,2.52
157,15700US0600100674,Alameda ,Albany,1/1/2015,"18,620","16,046","2,574","6,727","4,227",226,817,"1,432",25,"6,292",6.5%,2.55
157,15700US0600100674,Alameda ,Albany,1/1/2016,"18,558","16,062","2,496","6,732","4,231",227,817,"1,432",25,"6,265",6.9%,2.56
157,15700US0600100674,Alameda ,Albany,1/1/2017,"18,570","16,088","2,482","6,742","4,239",229,817,"1,432",25,"6,264",7.1%,2.57
157,15700US0600100674,Alameda ,Albany,1/1/2018,"18,818","16,377","2,441","6,930","4,249",231,818,"1,607",25,"6,414",7.4%,2.55
157,15700US0600100674,Alameda ,Albany,1/1/2019,"18,932","16,360","2,572","6,947","4,261",235,819,"1,607",25,"6,430",7.4%,2.54
157,15700US0600100674,Alameda ,Albany,1/1/2020,"18,871","16,299","2,572","6,969","4,275",235,827,"1,607",25,"6,444",7.5%,2.53
157,15700US0600100674,Alameda ,Albany,1/1/2021,"17,055","16,212",843,"6,980","4,280",235,833,"1,607",25,"6,454",7.5%,2.51
157,15700US0600106000,Alameda,Berkeley,4/1/2010,"112,580","99,731","12,849","49,454","20,924","2,060","9,980","16,272",218,"46,029",6.9%,2.17
157,15700US0600106000,Alameda ,Berkeley,1/1/2011,"114,444","101,237","13,207","49,794","20,926","2,060","9,993","16,597",218,"46,344",6.9%,2.18
