SUMLEV,STATE,COUNTY,PLACE,COUSUB,CONCIT,PRIMGEO_FLAG,FUNCSTAT,NAME,STNAME,CENSUS2010POP,ESTIMATESBASE2010,POPESTIMATE2010,POPESTIMATE2011,POPESTIMATE2012,POPESTIMATE2013,POPESTIMATE2014,POPESTIMATE2015,POPESTIMATE2016,POPESTIMATE2017,POPESTIMATE2018,POPESTIMATE2019,POPESTIMATE042020,POPESTIMATE2020
040,06,000,00000,00000,00000,0,A,California,California,37253956,37254522,37319550,37636311,37944551,38253768,38586706,38904296,39149186,39337785,39437463,39437610,39418894,39368078
162,06,000,00296,00000,00000,0,A,Adelanto city,California,31765,31760,31679,31915,31222,31414,32745,33376,33484,34309,34411,34506,34540,34537
162,06,000,00394,00000,00000,0,A,Agoura Hills city,California,20330,20336,20336,20412,20484,20537,20585,20634,20586,20471,20307,20103,19954,19881
162,06,000,00562,00000,00000,0,A,Alameda city,California,73812,73812,73901,74690,75750,76616,77646,78997,80023,80178,80196,79813,79170,78841
162,06,000,00674,00000,00000,0,A,Albany city,California,18539,18595,18615,18795,19041,19286,19557,19827,19958,20168,20352,20257,20110,20031
162,06,000,00884,00000,00000,0,A,Alhambra city,California,83089,83073,83107,83562,84006,84305,84635,85086,85341,85270,84666,83932,83502,83261
162,06,000,00947,00000,00000,0,A,Aliso Viejo city,California,47823,47668,47821,48612,49198,49623,49804,49877,49811,50352,50739,50543,50491,50412
162,06,000,01444,00000,00000,0,A,Alturas city,California,2827,2830,2837,2776,2719,2652,2639,2631,2591,2549,2530,2575,2553,2542
162,06,000,01514,00000,00000,0,A,Amador City city,California,185,187,187,185,184,184,187,190,192,194,196,197,198,199
162,06,000,01640,00000,00000,0,A,American Canyon city,California,19454,19560,19617,19808,19962,20133,20247,20276,20320,20326,20412,20241,20041,19957
162,06,000,02000,00000,00000,0,A,Anaheim city,California,336265,336332,337860,343357,345963,347853,349119,350578,351979,352710,353043,354006,354092,353676
162,06,000,02042,00000,00000,0,A,Anderson city,California,9932,9963,9978,10111,10240,10311,10366,10341,10349,10409,10439,10582,10573,10565
162,06,000,02112,00000,00000,0,A,Angels city,California,3836,3805,3794,3755,3714,3696,3695,3721,3812,3840,3863,3921,3955,3963
162,06,000,02252,00000,00000,0,A,Antioch city,California,102372,102745,103062,104279,105597,107397,108960,110255,111105,111426,111622,111605,111703,111605
162,06,000,02364,00000,00000,0,A,Apple Valley town,California,69135,69146,69310,69933,70337,70688,71194,71760,72358,72984,73521,73841,74048,74061
162,06,000,02462,00000,00000,0,A,Arcadia city,California,56364,56242,56244,56444,56640,56967,57197,57381,57447,57304,57105,56689,56460,56323
162,06,000,02476,00000,00000,0,A,Arcata city,California,17231,17405,17685,17971,17934,17886,17877,17983,18215,18297,18374,18346,18079,18044
162,06,000,02868,00000,00000,0,A,Arroyo Grande city,California,17252,17278,17299,17360,17497,17638,17773,17940,17979,17981,17970,17897,17848,17821
162,06,000,02896,00000,00000,0,A,Artesia city,California,16522,16522,16523,16590,16653,16700,16722,16730,16679,16592,16488,16343,16228,16168
162,06,000,02924,00000,00000,0,A,Arvin city,California,19304,19302,19374,19670,19912,20043,20116,20361,20605,20844,21275,21638,21753,21757
162,06,000,03064,00000,00000,0,A,Atascadero city,California,28310,28306,28425,28649,28783,29149,29463,30062,30422,30538,30549,30451,30335,30254
162,06,000,03092,00000,00000,0,A,Atherton town,California,6914,6940,6932,6937,6976,7005,7025,7050,7061,7076,7083,7054,7028,7011
162,06,000,03162,00000,00000,0,A,Atwater city,California,28168,28552,28614,28948,29169,29232,29370,29596,29864,30290,30551,30641,30406,30296
162,06,000,03204,00000,00000,0,A,Auburn city,California,13330,13313,13349,13513,13584,13741,13847,13862,13937,14004,14126,14206,14215,14205
162,06,000,03274,00000,00000,0,A,Avalon city,California,3728,3728,3739,3773,3789,3801,3807,3810,3798,3779,3747,3707,3680,3666
162,06,000,03302,00000,00000,0,A,Avenal city,California,15505,15504,15264,15000,14773,14071,13164,13163,12463,12530,13310,13485,13396,13362
162,06,000,03386,00000,00000,0,A,Azusa city,California,46361,46574,46539,46725,47344,48103,48842,49441,49629,49676,49771,49689,49390,49238
162,06,000,03526,00000,00000,0,A,Bakersfield city,California,347483,347783,348760,352430,357002,362066,366673,370871,374084,377170,379915,382682,385406,385725
162,06,000,03666,00000,00000,0,A,Baldwin Park city,California,75390,75397,75409,75772,76144,76389,76463,76492,76409,76211,75807,75243,74734,74480
162,06,000,03820,00000,00000,0,A,Banning city,California,29603,28684,28794,29076,29282,29453,29660,29849,30049,30243,30363,30377,30397,30380
162,06,000,04030,00000,00000,0,A,Barstow city,California,22639,22747,22806,22977,23076,23200,23313,23415,23491,23555,23564,23580,23592,23581
162,06,000,04758,00000,00000,0,A,Beaumont city,California,36877,36932,37408,38699,39554,40560,41978,43528,44916,46475,48297,50112,51147,51449
162,06,000,04870,00000,00000,0,A,Bell city,California,35477,35469,35466,35596,35720,35810,35853,35855,35727,35524,35348,35114,34857,34734
162,06,000,04982,00000,00000,0,A,Bellflower city,California,76616,76625,76616,76907,77182,77400,77519,77543,77284,76913,76439,75790,75383,75162
162,06,000,04996,00000,00000,0,A,Bell Gardens city,California,42072,42058,42053,42203,42356,42460,42518,42551,42437,42231,41874,41410,41105,40954
162,06,000,05108,00000,00000,0,A,Belmont city,California,25835,25900,25933,26189,26531,26806,27019,27207,27211,27156,27071,26829,26634,26533
162,06,000,05164,00000,00000,0,A,Belvedere city,California,2068,2071,2073,2091,2101,2118,2129,2136,2137,2130,2128,2119,2105,2099
162,06,000,05290,00000,00000,0,A,Benicia city,California,26997,27035,27058,27151,27340,27530,27789,27956,28121,28195,28219,28163,28044,27988
162,06,000,06000,00000,00000,0,A,Berkeley city,California,112580,112443,112938,114477,115819,117373,119348,121175,122175,123084,123541,123757,123104,122726
162,06,000,06308,00000,00000,0,A,Beverly Hills city,California,34109,33923,33919,34070,34233,34335,34374,34391,34272,34075,33808,33433,33135,33001
162,06,000,06434,00000,00000,0,A,Big Bear Lake city,California,5019,5039,5049,5094,5125,5140,5170,5210,5249,5280,5305,5323,5337,5338
162,06,000,06560,00000,00000,0,A,Biggs city,California,1707,1701,1699,1688,1684,1680,1711,1816,1899,1911,1920,2093,2042,2025
162,06,000,06798,00000,00000,0,A,Bishop city,California,3879,3879,3872,3846,3835,3833,3817,3780,3742,3728,3741,3766,3780,3778
162,06,000,07162,00000,00000,0,A,Blue Lake city,California,1253,1251,1254,1257,1249,1245,1241,1250,1265,1264,1259,1251,1246,1244
162,06,000,07218,00000,00000,0,A,Blythe city,California,20817,20898,20588,20310,20647,19840,19237,19182,19750,19670,19943,19674,19731,19673
162,06,000,07946,00000,00000,0,A,Bradbury city,California,1048,1047,1050,1059,1065,1070,1074,1080,1079,1070,1058,1049,1040,1036
162,06,000,08058,00000,00000,0,A,Brawley city,California,24953,24977,25042,25226,25263,25312,25468,25579,25836,25932,25935,25987,26032,26015
162,06,000,08100,00000,00000,0,A,Brea city,California,39282,39195,39449,40512,41183,41921,42783,43333,43720,43934,44170,44514,44533,44484
162,06,000,08142,00000,00000,0,A,Brentwood city,California,51481,51627,51854,52678,53447,54783,56508,58350,60243,61980,63435,64430,64927,65017
162,06,000,08310,00000,00000,0,A,Brisbane city,California,4282,4273,4282,4336,4395,4446,4528,4631,4671,4675,4667,4628,4595,4576
162,06,000,08758,00000,00000,0,A,Buellton city,California,4828,4849,4858,4875,4901,4940,4970,4988,5070,5208,5328,5399,5441,5449
162,06,000,08786,00000,00000,0,A,Buena Park city,California,80530,80456,80554,81291,81841,82201,82311,82431,82762,82864,82417,81841,81487,81269
162,06,000,08954,00000,00000,0,A,Burbank city,California,103340,103360,103573,104416,104820,105104,105252,105271,104877,104281,103423,102676,102155,101866
162,06,000,09066,00000,00000,0,A,Burlingame city,California,28806,28815,28847,29119,29553,29903,30132,30356,30373,30294,30176,29900,29674,29557
162,06,000,09598,00000,00000,0,A,Calabasas city,California,23058,23471,23471,23660,23845,23914,24027,24115,24052,23978,23826,23620,23691,23688
