SUMLEV,STATE,COUNTY,PLACE,COUSUB,CONCIT,PRIMGEO_FLAG,FUNCSTAT,NAME,STNAME,CENSUS2010POP,ESTIMATESBASE2010,POPESTIMATE2010,POPESTIMATE2011,POPESTIMATE2012,POPESTIMATE2013,POPESTIMATE2014,POPESTIMATE2015,POPESTIMATE2016,POPESTIMATE2017,POPESTIMATE2018,POPESTIMATE2019
040,06,000,00000,00000,00000,0,A,California,California,37253956,37254519,37319502,37638369,37948800,38260787,38596972,38918045,39167117,39358497,39461588,39512223
162,06,000,00296,00000,00000,0,A,Adelanto city,California,31765,31760,31661,31864,31088,31206,32522,32961,33249,33952,34070,34049
162,06,000,00394,00000,00000,0,A,Agoura Hills city,California,20330,20336,20338,20475,20544,20591,20648,20740,20665,20572,20411,20222
162,06,000,00562,00000,00000,0,A,Alameda city,California,73812,73812,73946,74692,75637,76479,77509,78459,79091,79037,78344,77624
162,06,000,00674,00000,00000,0,A,Albany city,California,18539,18515,18539,18720,18957,19187,19434,19662,19713,20076,19885,19696
162,06,000,00884,00000,00000,0,A,Alhambra city,California,83089,83119,83160,83594,84120,84337,84786,84843,85221,84878,84373,83750
162,06,000,00947,00000,00000,0,A,Aliso Viejo city,California,47823,47674,47801,48474,49038,49538,49542,49499,50858,50982,51206,50887
162,06,000,01444,00000,00000,0,A,Alturas city,California,2827,2827,2832,2772,2719,2652,2636,2626,2589,2551,2523,2563
162,06,000,01514,00000,00000,0,A,Amador City city,California,185,182,182,182,181,180,182,186,188,189,190,190
162,06,000,01640,00000,00000,0,A,American Canyon city,California,19454,19560,19633,19839,20011,20224,20285,20317,20268,20055,20211,20475
162,06,000,02000,00000,00000,0,A,Anaheim city,California,336265,336109,336760,339831,342071,343832,344604,348251,350013,350476,350698,350365
162,06,000,02042,00000,00000,0,A,Anderson city,California,9932,9968,9976,10024,10061,10123,10188,10179,10193,10369,10486,10630
162,06,000,02112,00000,00000,0,A,Angels city,California,3836,3812,3801,3774,3744,3731,3735,3755,3849,3881,3911,3956
162,06,000,02252,00000,00000,0,A,Antioch city,California,102372,102745,103080,104193,105565,107351,109071,110308,111088,111494,111578,111502
162,06,000,02364,00000,00000,0,A,Apple Valley town,California,69135,69146,69307,70025,70381,70706,71141,71747,72262,72871,73349,73453
162,06,000,02462,00000,00000,0,A,Arcadia city,California,56364,56303,56322,56594,56801,57215,57513,57835,58238,58374,58385,57939
162,06,000,02476,00000,00000,0,A,Arcata city,California,17231,17410,17681,17912,17875,17860,17869,17945,18100,18148,18246,18431
162,06,000,02868,00000,00000,0,A,Arroyo Grande city,California,17252,17275,17292,17355,17522,17696,17859,18027,18051,18057,18037,17976
162,06,000,02896,00000,00000,0,A,Artesia city,California,16522,16522,16519,16575,16630,16679,16755,16835,16826,16808,16702,16601
162,06,000,02924,00000,00000,0,A,Arvin city,California,19304,19304,19345,19676,20058,20260,20498,20741,20997,21124,21446,21851
162,06,000,03064,00000,00000,0,A,Atascadero city,California,28310,28306,28418,28585,28725,29000,29329,29910,30173,30316,30257,30075
162,06,000,03092,00000,00000,0,A,Atherton town,California,6914,6919,6915,6950,7023,7087,7127,7163,7234,7215,7178,7137
162,06,000,03162,00000,00000,0,A,Atwater city,California,28168,28215,28286,28527,28622,28712,28861,29048,29196,29270,29415,29559
162,06,000,03204,00000,00000,0,A,Auburn city,California,13330,13312,13345,13523,13611,13818,13878,13868,13919,13971,14078,14195
162,06,000,03274,00000,00000,0,A,Avalon city,California,3728,3728,3728,3742,3754,3761,3768,3769,3758,3743,3712,3681
162,06,000,03302,00000,00000,0,A,Avenal city,California,15505,15504,15278,15095,14858,14133,13257,13236,12434,12407,13218,13496
162,06,000,03386,00000,00000,0,A,Azusa city,California,46361,46574,46534,46722,47360,47889,48561,49502,49683,49799,49811,49974
162,06,000,03526,00000,00000,0,A,Bakersfield city,California,347483,347817,348987,353221,357312,362834,366954,371348,374699,377940,381714,384145
162,06,000,03666,00000,00000,0,A,Baldwin Park city,California,75390,75397,75421,75750,76183,76364,76375,76427,76219,75948,75572,75251
162,06,000,03820,00000,00000,0,A,Banning city,California,29603,29592,29723,29993,30219,30429,30612,30761,30963,31160,31235,31221
162,06,000,04030,00000,00000,0,A,Barstow city,California,22639,22750,22812,23020,23118,23301,23484,23689,23894,23981,23944,23915
162,06,000,04758,00000,00000,0,A,Beaumont city,California,36877,36867,37261,38514,39286,40337,41994,43479,45156,46848,49126,51063
162,06,000,04870,00000,00000,0,A,Bell city,California,35477,35469,35481,35640,35758,35847,35874,35892,35756,35596,35612,35521
162,06,000,04982,00000,00000,0,A,Bellflower city,California,76616,76625,76624,76939,77202,77404,77532,77794,77581,77326,76906,76435
162,06,000,04996,00000,00000,0,A,Bell Gardens city,California,42072,42053,42056,42211,42628,42706,42714,42743,42675,42489,42192,42012
162,06,000,05108,00000,00000,0,A,Belmont city,California,25835,25833,25870,26173,26509,26770,27013,27204,27177,27057,27075,26941
162,06,000,05164,00000,00000,0,A,Belvedere city,California,2068,2071,2073,2091,2106,2121,2134,2128,2123,2116,2109,2104
162,06,000,05290,00000,00000,0,A,Benicia city,California,26997,27035,27063,27190,27380,27578,27827,28029,28126,28255,28282,28240
162,06,000,06000,00000,00000,0,A,Berkeley city,California,112580,112513,112889,113968,115309,116944,118697,120749,121547,122164,121663,121363
162,06,000,06308,00000,00000,0,A,Beverly Hills city,California,34109,33921,33937,34077,34254,34308,34363,34386,34402,34242,34051,33792
162,06,000,06434,00000,00000,0,A,Big Bear Lake city,California,5019,5037,5047,5089,5112,5127,5159,5201,5232,5264,5271,5279
162,06,000,06560,00000,00000,0,A,Biggs city,California,1707,1705,1703,1693,1692,1689,1692,1690,1695,1706,1716,1879
162,06,000,06798,00000,00000,0,A,Bishop city,California,3879,3879,3872,3847,3837,3832,3815,3772,3728,3722,3728,3747
162,06,000,07162,00000,00000,0,A,Blue Lake city,California,1253,1253,1253,1246,1241,1238,1238,1248,1266,1263,1258,1245
162,06,000,07218,00000,00000,0,A,Blythe city,California,20817,20877,20569,20294,20659,19868,19268,19202,19786,19705,19964,19682
162,06,000,07946,00000,00000,0,A,Bradbury city,California,1048,1047,1047,1056,1062,1073,1073,1079,1075,1085,1079,1070
162,06,000,08058,00000,00000,0,A,Brawley city,California,24953,24976,25038,25226,25473,25519,25660,25728,26050,26217,26172,26227
162,06,000,08100,00000,00000,0,A,Brea city,California,39282,39195,39422,39828,40139,40906,41265,41693,42392,42574,43484,43255
162,06,000,08142,00000,00000,0,A,Brentwood city,California,51481,51627,51813,52716,53508,54916,56854,58796,60571,62265,63760,64474
162,06,000,08310,00000,00000,0,A,Brisbane city,California,4282,4282,4290,4345,4402,4453,4602,4712,4711,4702,4683,4671
162,06,000,08758,00000,00000,0,A,Buellton city,California,4828,4849,4855,4877,4921,4978,5036,5069,5097,5094,5090,5102
162,06,000,08786,00000,00000,0,A,Buena Park city,California,80530,80619,80792,81553,82045,82717,82621,82770,82988,82619,82187,81788
162,06,000,08954,00000,00000,0,A,Burbank city,California,103340,103357,103351,103732,104077,104355,104405,104472,104097,104174,103349,102511
162,06,000,09066,00000,00000,0,A,Burlingame city,California,28806,28806,28838,29261,29640,29928,30258,30458,30439,30588,30434,30889
162,06,000,09598,00000,00000,0,A,Calabasas city,California,23058,23462,23464,23742,23825,24041,24058,24102,24068,24047,23867,23853
162,06,000,09710,00000,00000,0,A,Calexico city,California,38572,38573,38661,38927,39147,39298,39550,39767,40028,40083,40072,39825
162,06,000,09780,00000,00000,0,A,California City city,California,14120,14120,13467,12834,13344,13202,13203,13202,13656,13884,14167,14198
162,06,000,09864,00000,00000,0,A,Calimesa city,California,7879,7882,7918,7997,8092,8201,8380,8493,8621,8807,8944,9160
162,06,000,09878,00000,00000,0,A,Calipatria city,California,7705,7694,7689,7684,7986,7083,7491,7391,7505,7539,7418,7114
162,06,000,09892,00000,00000,0,A,Calistoga city,California,5155,5168,5174,5204,5224,5256,5274,5285,5285,5241,5300,5247
162,06,000,10046,00000,00000,0,A,Camarillo city,California,65201,65156,65257,65515,65656,65882,66517,67171,67141,67403,68883,69888
162,06,000,10345,00000,00000,0,A,Campbell city,California,39349,40580,40669,41027,41519,41891,42256,42262,42303,42567,42243,41793
162,06,000,10928,00000,00000,0,A,Canyon Lake city,California,10561,10553,10599,10699,10783,10861,10945,11007,11095,11188,11251,11280
162,06,000,11040,00000,00000,0,A,Capitola city,California,9918,9917,9925,9968,10010,10066,10114,10166,10178,10152,10073,10010
162,06,000,11194,00000,00000,0,A,Carlsbad city,California,105328,105328,105674,107460,108948,110665,111609,112662,113265,114477,115518,115382
162,06,000,11250,00000,00000,0,A,Carmel-by-the-Sea city,California,3722,3678,3687,3716,3749,3780,3804,3821,3836,3822,3815,3811
162,06,000,11446,00000,00000,0,A,Carpinteria city,California,13040,13003,13013,13021,13144,13460,13565,13605,13598,13540,13436,13385
162,06,000,11530,00000,00000,0,A,Carson city,California,91714,91711,91599,91690,92162,92535,92684,92752,92572,92193,91626,91394
162,06,000,12048,00000,00000,0,A,Cathedral City city,California,51200,51230,51452,52077,52478,52846,53187,53516,53943,54413,54793,55007
162,06,000,12524,00000,00000,0,A,Ceres city,California,45417,45843,45901,46057,46263,46482,46918,47431,47985,48340,48540,48706
162,06,000,12552,00000,00000,0,A,Cerritos city,California,49041,49043,49042,49223,49384,49507,49532,49546,50346,50697,50288,49859
162,06,000,13014,00000,00000,0,A,Chico city,California,86187,86798,86783,87269,87915,88362,89491,90369,91564,93066,94342,103301
162,06,000,13210,00000,00000,0,A,Chino city,California,77983,78069,78644,79591,79949,80799,84296,85169,87468,89601,91356,94371
162,06,000,13214,00000,00000,0,A,Chino Hills city,California,74799,74792,74963,75639,76042,76285,76509,77826,78452,80115,83239,83853
162,06,000,13294,00000,00000,0,A,Chowchilla city,California,18720,18785,18718,18892,18049,17357,18843,18391,18179,18457,18709,18310
162,06,000,13392,00000,00000,0,A,Chula Vista city,California,243916,243923,244648,248318,252379,256691,259885,264206,266238,269046,270819,274492
162,06,000,13588,00000,00000,0,A,Citrus Heights city,California,83301,83184,83273,83781,84308,84924,85665,86543,87179,87675,87707,87796
162,06,000,13756,00000,00000,0,A,Claremont city,California,34926,34878,34899,35190,35281,35650,35715,35962,35889,35835,36370,36266
